'Testing Application'|'Project Name'|'Provider'|'Test Type'|'Test Step'|'Assertion'|'Result'|'Error Message'|'Result Numeric'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Access Token (Verifier)'|'returned token must expire in the future'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Access Token (Verifier)'|'`access_token` persisted to collectionVariables'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'`issuer_access_token` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'Status code is 200'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'must include valid JSON response body'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'didDocument must be present in response body'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'alsoKnownAs MUST be present'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'alsoKnownAs MUST be an array'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'alsoKnownAs values MUST be unique'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'alsoKnownAs[1] must be present'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'verification method controller must match did subject'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Get Organization DIDs'|'`credential_issuer_id` persisted to collectionVariables'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Issue Credential'|'`issuer_access_token` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Issue Credential'|'`credential_issuer_id` collection variable must be set'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Issue Credential'|'must return `201 Created` status'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Issue Credential'|'`verifiable_credential` persisted to collectionVariables'|'Pass'|''|'1'
'postman'|'Trace Interop'|'mesur.io'|'Presentations Exchange Tutorial'|'Initiate Exchange'|'`verifier_access_token` collection variable must be set'|'Pass'|''|'1'
